Updated On,State,Total Doses Administered,18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
16-01-2021,India,48276,,,,23757,24517,2,48276
17-01-2021,India,58604,,,,27348,31252,4,58604
18-01-2021,India,99449,,,,41361,58083,5,99449
19-01-2021,India,195525,,,,81901,113613,11,195525
20-01-2021,India,251280,,,,98111,153145,24,251280
21-01-2021,India,365965,,,,132784,233143,38,365965
22-01-2021,India,549381,,,,193899,355402,80,549381
23-01-2021,India,759008,,,,267856,491049,103,759008
24-01-2021,India,835058,,,,296283,538647,128,835058
25-01-2021,India,1277104,,,,444137,832766,201,1277104
26-01-2021,India,1293784,,,,449119,844448,217,1293784
27-01-2021,India,1726490,,,,586081,1140137,272,1726490
28-01-2021,India,2295491,,,,771229,1523939,323,2295491
29-01-2021,India,2814803,,,,939069,1875368,366,2814803
30-01-2021,India,3067736,,,,1022380,2044950,406,3067736
31-01-2021,India,3127107,,,,1061307,2065391,409,3127107
01-02-2021,India,3350265,,,,1152344,2197431,490,3350265
02-02-2021,India,3527971,,,,1218507,2308898,566,3527971
03-02-2021,India,3825835,,,,1324273,2500887,675,3825835
04-02-2021,India,4314304,,,,1504527,2809042,735,4314304
05-02-2021,India,4765924,,,,1710466,3054631,827,4765924
06-02-2021,India,5111827,,,,1896705,3214244,878,5111827
07-02-2021,India,5168099,,,,1928947,3238273,879,5168099
08-02-2021,India,5615499,,,,2211020,3403576,903,5615499
09-02-2021,India,6002474,,,,2458329,3543208,937,6002474
10-02-2021,India,6462270,,,,2785194,3676114,962,6462270
11-02-2021,India,6958553,,,,3153649,3803908,996,6958553
12-02-2021,India,7423817,,,,3504429,3918381,1007,7423817
13-02-2021,India,7708211,,,,3684053,4002279,1020,7687352
14-02-2021,India,7732278,,,,3699535,4009812,1020,7710367
15-02-2021,India,8253651,,,,3925723,4184377,1062,8111162
16-02-2021,India,8577226,,,,4044967,4291548,1085,8337600
17-02-2021,India,9023239,,,,4271486,4432078,1134,8704698
18-02-2021,India,9338267,,,,4509554,4351815,1122,8862491
19-02-2021,India,10241508,,,,4820055,4702310,1202,9523567
20-02-2021,India,10619113,,,,4966750,4766532,1223,9734505
21-02-2021,India,10651012,,,,4982068,4773924,1225,9757217
22-02-2021,India,11243679,,,,5226538,4841511,1214,10069263
23-02-2021,India,11597768,,,,5389434,4897627,1232,10288293
24-02-2021,India,12042958,,,,5558978,4957351,1239,10517568
25-02-2021,India,12819074,,,,5799474,5045426,1292,10846192
26-02-2021,India,13560932,,,,6008758,5131299,1318,11141375
27-02-2021,India,13560983,,,,6008785,5131323,1318,11141426
28-02-2021,India,13561208,,,,6008960,5131373,1318,11141651
01-03-2021,India,13561208,,,,6008960,5131373,1318,11141651
02-03-2021,India,14533954,,,,6462436,5422470,1414,11886320
03-03-2021,India,15383883,,,,6859318,5692550,1458,12553326
04-03-2021,India,16535703,,,,7346850,6045211,1477,13393538
05-03-2021,India,17871673,,,,7924084,6490255,1573,14415912
06-03-2021,India,19170828,,,,8488627,6948195,1673,15438495
07-03-2021,India,19288666,,,,8545982,6993867,1680,15541529
08-03-2021,India,21038500,,,,9298005,7676312,1821,16976138
09-03-2021,India,18360243,,,,10044921,8313353,1967,18360243
10-03-2021,India,19538547,,,,10707385,8829091,2069,19538547
